Date,Lifetime Total Likes,Daily New Likes,Daily Unlikes,Daily Page Engaged Users,Daily Total Reach,Daily Organic Reach,Daily Viral Reach,Daily Total Impressions,Daily Organic impressions,Daily Viral impressions,Daily Reach Of Page Posts,Daily Organic Reach of Page posts,Daily Viral Reach Of Page Posts,Daily Total Impressions of your posts,Daily Organic impressions of your posts,Daily Viral Impressions Of Your Posts,Daily Total Consumers,Daily Page Consumptions,Daily Negative Feedback,Daily Total Frequency Distribution - 1,Daily Page Posts Frequency Distribution - 1,Daily Talking About This By Story Type - other,Daily Talking About This By Story Type - page post,Weekly Talking About This By Story Type - fan,Daily Page Stories By Story Type - fan,Daily Page Stories By Story Type - other,Daily Page Stories By Story Type - page post
,Lifetime: The total number of people who have liked your Page. (Unique Users),Daily: The number of new people who have liked your Page (Unique Users),Daily: The number of Unlikes of your Page (Unique Users),Daily: The number of people who engaged with your Page. Engagement includes any click or story created. (Unique Users),"Daily: The number of people who had any content from your Page or about your Page enter their screen. This includes posts, check-ins, ads, social information from people who interact with your Page and more. (Unique Users)","Daily: The number of people who had any content from your Page or about your Page enter their screen through unpaid distribution. This includes posts, check-ins, social information from people who interact with your Page and more. (Unique Users)","Daily:  The number of people who had any content from your Page or about your Page enter their screen through with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Unique Users)","Daily: The number of times any content from your Page or about your Page entered a person's screen. This includes posts, check-ins, ads, social information from people who interact with your Page and more. (Total Count)","Daily: The number of times any content from your Page or about your Page entered a person's screen through unpaid distribution. This includes posts, check-ins, social information from people who interact with your Page and more. (Total Count)","Daily: The number of times any content from your Page or about your Page entered a person's screen with social information attached. Social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Total Count)","Daily: The number of people who had any of your Page's posts enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Daily: The number of people who had any of your Page's posts enter their screen through unpaid distribution. (Unique Users),"Daily: The number of people who had any of your Page's posts enter their screen with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Unique Users)","Daily: The number of times your Page's posts entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Daily: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),"Daily: The number of times your Page's posts entered a person's screen with social information attached. Social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Total Count)","Daily: The number of people who clicked on any of your content. Stories that are created without clicking on Page content (ex, liking the Page from timeline) are not included. (Unique Users)","Daily: The number of clicks on any of your content. Stories generated without clicks on page content (e.g., liking the page in Timeline) are not included. (Total Count)",Daily: The number of people who have given negative feedback to your Page. (Unique Users),Daily: The number of people your Page reached broken down by how many times people saw any content about your Page. (Unique Users),"Daily: The number of people who saw your Page posts, broken down by how many times people saw your posts. (Unique Users)",,,,,,
2019-06-01,47252,22,6,15389,45725,30335,10775,334607,307101,17868,45661,30288,10387,332996,305865,16643,9956,21327,35,21052,21054,5624,1995,99,23,7472,2409
2019-06-02,47252,9,8,13800,42968,26307,7663,295299,269583,12412,42943,26256,7308,293870,268443,11272,9369,21482,38,20280,20282,4211,1394,98,9,5603,1542
2019-06-03,47257,14,10,16814,35818,34447,14871,325583,323374,24632,35654,34296,14261,322648,320924,22189,11761,29119,43,11581,11609,5441,1679,97,15,7875,2030
2019-06-04,47261,17,10,14624,46397,33654,12302,330627,308577,18662,46181,33494,11791,329172,307596,17681,11342,25069,35,20891,20891,3690,1119,95,17,5425,1361
2019-06-05,47261,17,13,16119,34559,34547,11633,337977,337484,19878,34510,34510,11444,336741,336741,19140,11401,26375,33,10485,10476,5686,1193,103,18,8017,1461
2019-06-06,47275,29,15,21807,69620,69620,43530,408621,408189,64427,69620,69620,43244,407050,407050,63294,15406,32193,61,32408,32417,8294,1860,120,29,10895,2254
2019-06-07,47279,16,10,14384,37158,37116,13729,316166,315872,21810,37062,37062,13425,314851,314851,20796,10900,25405,39,11839,11824,4291,1095,128,16,6167,1439
2019-06-08,47283,11,5,8651,29282,29282,6453,219547,219241,9699,29273,29273,6343,218943,218943,9401,7018,13497,36,10033,10038,2144,517,115,11,3200,632
2019-06-09,47284,5,6,9946,36471,36420,9515,271604,271352,14461,36189,36189,9220,270431,270431,13540,7566,14234,24,12817,12812,3094,909,112,5,4697,1154
2019-06-10,47294,20,9,15550,43345,43336,14645,385548,385084,23262,43206,43206,14476,384230,384230,22410,12951,30621,28,15632,15633,4150,1046,118,21,7046,1386
2019-06-11,47293,19,18,19035,44837,44837,22257,410485,410061,36293,44708,44708,21689,408624,408624,34861,12709,30943,42,15601,15624,6874,1855,119,19,9318,2353
2019-06-12,47285,15,20,16205,39353,39353,16168,367160,366664,24922,39136,39136,15622,364950,364950,23212,12373,32390,55,12449,12417,4674,1303,117,15,7149,1749
2019-06-13,47282,18,19,11774,34087,34087,9700,327399,326945,14947,33940,33940,9556,326602,326602,14606,9494,22169,50,11146,11135,2900,650,108,18,4522,894
2019-06-14,47277,17,20,12483,35570,35557,12779,327153,326745,18837,35550,35550,12613,326160,326160,18252,9769,24609,44,11214,11207,3642,813,109,17,5721,1151
2019-06-15,47278,11,9,11498,32346,32336,8250,245956,245657,12661,32275,32275,8145,245294,245294,12298,10006,20353,29,11546,11540,2196,468,108,11,3408,586
2019-06-16,47285,13,5,8855,51562,51562,4969,230812,230499,7651,51493,51493,4902,230132,230132,7284,7778,14042,14,29048,29045,1721,330,114,13,2633,414
2019-06-17,47298,19,5,13335,47715,47715,13131,324623,323979,20880,47566,47566,12598,322323,322323,19230,11584,27331,32,19952,19956,2580,720,112,19,4523,902
2019-06-18,47304,10,4,14403,44004,44004,13400,335846,335295,21134,43967,43967,12955,334235,334235,20074,12117,28567,37,16687,16687,2993,993,103,10,5097,1222
2019-06-19,47310,12,6,16549,44984,44984,14821,373520,372710,23317,44926,44926,14537,371678,371678,22289,13184,32940,37,16444,16447,4724,1162,99,12,8089,1458
2019-06-20,47316,13,8,15598,51209,51102,13094,357054,358365,20489,51072,51072,12898,355989,355989,19902,13042,27874,27,21187,21195,3521,759,93,14,5261,1029
2019-06-21,47321,13,8,16753,50148,50109,15878,366947,366182,26414,50048,50048,15688,364769,364769,25004,13142,30775,23,19456,19445,4816,1316,91,13,7534,1791
2019-06-22,47323,11,9,12157,44516,44419,12631,280041,279352,19127,44365,44365,12128,278385,278385,18160,9390,17815,15,17246,17226,3521,669,90,11,5356,868
2019-06-23,47328,13,6,10815,38653,38638,10412,297216,296581,15955,38638,38638,10136,295887,295887,15261,8562,19193,19,14799,14809,2780,643,90,13,4498,843
2019-06-24,47342,18,4,14274,39357,39341,13833,329760,328979,22207,39191,39191,13412,327571,327571,20807,9733,19750,22,13418,13418,5499,1251,90,18,7694,1528
2019-06-25,47353,21,8,16130,50328,50328,15578,357687,356477,26158,50237,50237,14908,353790,353790,23472,11939,27830,30,19637,19665,5026,1735,101,21,7305,2171
2019-06-26,47363,18,10,19364,48183,48076,18423,350711,349206,28230,48064,48064,18083,347606,347606,26630,14707,34113,103,18099,18111,6108,1368,108,20,9418,1644
2019-06-27,47374,16,5,11665,33864,33830,11011,296347,294704,16385,33672,33672,10817,294136,294136,15817,9165,22016,31,12195,12205,3058,564,110,17,5333,766
2019-06-28,47383,19,9,17547,41669,41542,17750,362547,361025,29119,41524,41524,17125,358931,358931,27031,12586,32045,26,13820,13843,6856,1499,116,19,10411,1880
2019-06-29,47382,9,6,12145,35062,35009,10006,270041,268844,15952,34713,34713,9568,267433,267433,14541,8853,20053,27,11972,11925,3893,847,114,9,5906,1011
2019-06-30,47386,11,7,8468,28066,28026,6738,243976,243012,10360,27973,27973,6494,242476,242476,9824,6754,13984,15,8998,8984,2219,503,113,11,3461,661